id,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure,Hijacking,Hostage Taking(Barricade Incident), Hostage Taking(Kidnapping), Unarmed Assault, Unknown
Alabama,2,2,9,21,0,0,12,0,0
Alaska,0,0,3,0,0,0,0,0,0
Arizona,0,1,18,91,0,0,0,8,0
California,76,32,951,826,4,5,30,0,9
Colorado,0,2,57,77,0,0,0,0,0 
Connecticut,2,1,9,49,0,10,0,0,9
Delaware,2,0,0,14,0,0,0,0,0 
District of Columbia,14,3,135,63,0,15,0,8,0 
Florida,6,9,264,168,4,0,0,8,127
Georgia,8,3,24,35,4,5,0,0,9 
Hawaii,2,0,3,14,0,0,0,0,0 
Idaho,0,0,27,21,0,0,0,0,0 
Illinois,24,4,147,203,0,5,12,0,0
Indiana,4,1,3,21,0,0,0,0,0
Iowa,0,0,27,7,0,20,0,0,0
Kansas,0,0,15,21,0,5,0,0,0
Kentucky,0,0,3,0,0,5,0,0,0
Louisiana,4,1,18,21,4,0,0,0,0 
Maine,0,0,3,7,0,10,0,0,0 
Maryland,8,4,33,63,0,0,0,8,0
Massachusetts,8,2,75,98,0,0,0,8,0 
Michigan,8,3,36,49,4,0,6,0,0
Minnesota,2,0,15,84,0,0,0,0,0 
Mississippi,0,2,6,14,0,0,0,0,0
Missouri,4,1,33,56,0,15,0,0,0 
Montana,0,0,6,28,0,0,0,0,0 
Nebraska,0,0,33,14,0,0,0,0,0 
Nevada,0,0,15,14,0,0,0,0,0 
New Hampshire,0,0,6,7,0,0,0,0,0 
New Jersey,10,7,39,105,0,0,0,0,0 
New Mexico,0,0,3,42,0,0,0,0,0 
New York,82,20,837,679,16,70,12,32,9 
North Carolina,4,1,12,98,0,0,0,0,0
North Dakota,2,0,0,14,0,0,0,0,0
Ohio,6,1,45,133,0,20,6,0,0 
Oklahoma,4,0,9,63,0,0,0,0,0 
Oregon,0,0,45,161,0,0,0,32,0
Pennsylvania,8,3,15,42,0,0,0,0,0 
Puerto Rico,22,14,537,154,0,40,18,0,36 
Rhode Island,0,0,3,0,0,0,0,0,0 
South Carolina,0,0,0,14,0,0,0,0,0 
South Dakota,0,0,15,7,0,5,0,0,0 
Tennessee,10,1,18,21,0,0,6,0,0
Texas,8,3,36,126,4,0,6,0,0 
Unknown,0,0,0,0,0,0,0,8,0
Utah,2,1,18,49,0,0,0,0,0 
Vermont,2,0,3,14,0,5,0,0,0 
Virginia,6,3,12,70,0,20,0,8,0
Washington,6,0,126,140,4,10,0,0,0
West Virginia,0,0,3,0,0,0,0,0,0
Wisconsin,2,0,54,49,0,15,0,0,0
Wyoming,0,0,0,7,0,0,0,0,0


